timestamp,log_message,label,anomaly_type
2026-01-03 22:03:01,systemd[1]: Started nginx.service,0,normal
2026-01-03 22:03:08,[INFO] User postgres logged in successfully,0,normal
2026-01-03 22:03:15,Connection received: host=192.168.167.71 user=guest database=analytics,0,normal
2026-01-03 22:03:31,[INFO] Cache hit for key: cache_key_286,0,normal
2026-01-03 22:03:33,session closed for user admin,0,normal
2026-01-03 22:04:06,[INFO] Cache hit for key: cache_key_728,0,normal
2026-01-03 22:04:08,"192.168.166.57 - - [04/Jan/2026:09:32:17 +0700] ""GET /api/v1/data HTTP/1.1"" 200 47965",0,normal
2026-01-03 22:04:17,[INFO] Application started successfully,0,normal
2026-01-03 22:04:32,MySQL server started with process id 14659,0,normal
2026-01-03 22:04:37,[INFO] User root logged in successfully,0,normal
2026-01-03 22:04:58,[INFO] Request processed in 2066ms,0,normal
2026-01-03 22:04:58,PostgreSQL database system is ready to accept connections,0,normal
2026-01-03 22:05:10,systemd[1]: Starting nginx.service...,0,normal
2026-01-03 22:05:11,Connection received: host=192.168.186.134 user=mysql database=staging,0,normal
2026-01-03 22:05:16,Blocked suspicious request from 104.248.129.112: /index.html,1,suspicious_network
2026-01-03 22:05:34,[INFO] User www-data logged in successfully,0,normal
2026-01-03 22:05:38,[INFO] Application started successfully,0,normal
2026-01-03 22:06:01,systemd[1]: Starting mongodb.service...,0,normal
2026-01-03 22:06:06,session opened for user guest by (uid=0),0,normal
2026-01-03 22:06:09,systemd[1]: Started mongodb.service,0,normal
2026-01-03 22:06:11,ALERT: Reverse shell connection attempt to 185.220.99.134:36532,1,malware_indicator
2026-01-03 22:06:22,Connection received: host=192.168.239.64 user=mysql database=users,0,normal
2026-01-03 22:06:31,Connection received: host=192.168.29.34 user=guest database=staging,0,normal
2026-01-03 22:06:33,systemd[1]: Started redis.service,0,normal
2026-01-03 22:06:34,systemd[1]: Starting mysql.service...,0,normal
2026-01-03 22:06:46,Accepted password for apache from 192.168.29.185 port 56605 ssh2,0,normal
2026-01-03 22:06:49,session closed for user guest,0,normal
2026-01-03 22:07:00,"kernel: [23.431295] I/O error, dev eth1, sector 9492300",1,system_error
2026-01-03 22:07:15,[INFO] Application started successfully,0,normal
2026-01-03 22:07:18,systemd[1]: Started nginx.service,0,normal
2026-01-03 22:07:19,kernel: [2.313913] eth0: link down,0,normal
2026-01-03 22:07:26,kernel: [444.835632] eth0: link down,0,normal
2026-01-03 22:07:26,PostgreSQL database system is ready to accept connections,0,normal
2026-01-03 22:07:27,kernel: [648.555679] br-0: link up,0,normal
2026-01-03 22:07:34,Possible SQL injection attack from 104.248.13.61: 1; EXEC xp_cmdshell,1,suspicious_network
